rank,name,layer,proj,score,base_type,prom_type,delta_bytes,cum_delta_gb,promotable,benefit_per_byte
0,blk.39.ffn_gate_exps.weight,39,gate,1.280712e+02,42,12,44040192,0.0440,1,2.908052e-06
1,blk.39.ffn_up_exps.weight,39,up,1.280712e+02,42,12,44040192,0.0881,1,2.908052e-06
2,blk.38.ffn_gate_exps.weight,38,gate,4.934728e+00,42,12,44040192,0.1321,1,1.120506e-07
3,blk.38.ffn_up_exps.weight,38,up,4.934728e+00,42,12,44040192,0.1762,1,1.120506e-07
4,blk.35.ffn_gate_exps.weight,35,gate,3.735934e+00,42,12,44040192,0.2202,1,8.483011e-08
5,blk.35.ffn_up_exps.weight,35,up,3.735934e+00,42,12,44040192,0.2642,1,8.483011e-08
6,blk.31.ffn_gate_exps.weight,31,gate,3.665765e+00,42,12,44040192,0.3083,1,8.323681e-08
7,blk.31.ffn_up_exps.weight,31,up,3.665765e+00,42,12,44040192,0.3523,1,8.323681e-08
8,blk.33.ffn_gate_exps.weight,33,gate,3.323991e+00,42,12,44040192,0.3964,1,7.547630e-08
9,blk.33.ffn_up_exps.weight,33,up,3.323991e+00,42,12,44040192,0.4404,1,7.547630e-08
10,blk.34.ffn_gate_exps.weight,34,gate,3.308891e+00,42,12,44040192,0.4844,1,7.513344e-08
11,blk.34.ffn_up_exps.weight,34,up,3.308891e+00,42,12,44040192,0.5285,1,7.513344e-08
12,blk.27.ffn_gate_exps.weight,27,gate,3.101296e+00,42,12,44040192,0.5725,1,7.041968e-08
13,blk.27.ffn_up_exps.weight,27,up,3.101296e+00,42,12,44040192,0.6166,1,7.041968e-08
14,blk.30.ffn_gate_exps.weight,30,gate,2.801307e+00,42,12,44040192,0.6606,1,6.360796e-08
15,blk.30.ffn_up_exps.weight,30,up,2.801307e+00,42,12,44040192,0.7046,1,6.360796e-08
16,blk.19.ffn_gate_exps.weight,19,gate,2.108467e+00,42,12,44040192,0.7487,1,4.787596e-08
17,blk.19.ffn_up_exps.weight,19,up,2.108467e+00,42,12,44040192,0.7927,1,4.787596e-08
18,blk.15.ffn_gate_exps.weight,15,gate,2.078620e+00,42,12,44040192,0.8368,1,4.719825e-08
19,blk.15.ffn_up_exps.weight,15,up,2.078620e+00,42,12,44040192,0.8808,1,4.719825e-08
20,blk.23.ffn_gate_exps.weight,23,gate,1.896475e+00,42,12,44040192,0.9248,1,4.306236e-08
21,blk.23.ffn_up_exps.weight,23,up,1.896475e+00,42,12,44040192,0.9689,1,4.306236e-08
22,blk.24.ffn_gate_exps.weight,24,gate,1.557395e+00,42,12,44040192,1.0129,1,3.536303e-08
23,blk.24.ffn_up_exps.weight,24,up,1.557395e+00,42,12,44040192,1.0570,1,3.536303e-08
24,blk.14.ffn_gate_exps.weight,14,gate,1.428013e+00,42,12,44040192,1.1010,1,3.242523e-08
25,blk.14.ffn_up_exps.weight,14,up,1.428013e+00,42,12,44040192,1.1450,1,3.242523e-08
26,blk.10.ffn_gate_exps.weight,10,gate,1.356939e+00,42,12,44040192,1.1891,1,3.081137e-08
27,blk.10.ffn_up_exps.weight,10,up,1.356939e+00,42,12,44040192,1.2331,1,3.081137e-08
28,blk.26.ffn_gate_exps.weight,26,gate,1.337753e+00,42,12,44040192,1.2772,1,3.037573e-08
29,blk.26.ffn_up_exps.weight,26,up,1.337753e+00,42,12,44040192,1.3212,1,3.037573e-08
30,blk.12.ffn_gate_exps.weight,12,gate,1.291858e+00,42,12,44040192,1.3652,1,2.933362e-08
31,blk.12.ffn_up_exps.weight,12,up,1.291858e+00,42,12,44040192,1.4093,1,2.933362e-08
32,blk.21.ffn_gate_exps.weight,21,gate,1.289007e+00,42,12,44040192,1.4533,1,2.926888e-08
33,blk.21.ffn_up_exps.weight,21,up,1.289007e+00,42,12,44040192,1.4974,1,2.926888e-08
34,blk.11.ffn_gate_exps.weight,11,gate,1.279628e+00,42,12,44040192,1.5414,1,2.905592e-08
35,blk.11.ffn_up_exps.weight,11,up,1.279628e+00,42,12,44040192,1.5854,1,2.905592e-08
36,blk.6.ffn_gate_exps.weight,6,gate,1.277077e+00,42,12,44040192,1.6295,1,2.899800e-08
37,blk.6.ffn_up_exps.weight,6,up,1.277077e+00,42,12,44040192,1.6735,1,2.899800e-08
38,blk.5.ffn_gate_exps.weight,5,gate,1.126232e+00,42,12,44040192,1.7176,1,2.557281e-08
39,blk.5.ffn_up_exps.weight,5,up,1.126232e+00,42,12,44040192,1.7616,1,2.557281e-08
40,blk.37.ffn_gate_exps.weight,37,gate,1.054549e+00,42,12,44040192,1.8056,1,2.394514e-08
41,blk.37.ffn_up_exps.weight,37,up,1.054549e+00,42,12,44040192,1.8497,1,2.394514e-08
42,blk.7.ffn_gate_exps.weight,7,gate,1.046103e+00,42,12,44040192,1.8937,1,2.375337e-08
43,blk.7.ffn_up_exps.weight,7,up,1.046103e+00,42,12,44040192,1.9378,1,2.375337e-08
44,blk.4.ffn_gate_exps.weight,4,gate,9.668248e-01,42,12,44040192,1.9818,1,2.195324e-08
45,blk.4.ffn_up_exps.weight,4,up,9.668248e-01,42,12,44040192,2.0258,1,2.195324e-08
46,blk.25.ffn_gate_exps.weight,25,gate,8.881752e-01,42,12,44040192,2.0699,1,2.016738e-08
47,blk.25.ffn_up_exps.weight,25,up,8.881752e-01,42,12,44040192,2.1139,1,2.016738e-08
48,blk.9.ffn_gate_exps.weight,9,gate,8.543074e-01,42,12,44040192,2.1580,1,1.939836e-08
49,blk.9.ffn_up_exps.weight,9,up,8.543074e-01,42,12,44040192,2.2020,1,1.939836e-08
50,blk.18.ffn_gate_exps.weight,18,gate,8.321238e-01,42,12,44040192,2.2460,1,1.889464e-08
51,blk.18.ffn_up_exps.weight,18,up,8.321238e-01,42,12,44040192,2.2901,1,1.889464e-08
52,blk.28.ffn_gate_exps.weight,28,gate,7.995940e-01,42,12,44040192,2.3341,1,1.815601e-08
53,blk.28.ffn_up_exps.weight,28,up,7.995940e-01,42,12,44040192,2.3782,1,1.815601e-08
54,blk.36.ffn_gate_exps.weight,36,gate,7.511613e-01,42,12,44040192,2.4222,1,1.705627e-08
55,blk.36.ffn_up_exps.weight,36,up,7.511613e-01,42,12,44040192,2.4663,1,1.705627e-08
56,blk.32.ffn_gate_exps.weight,32,gate,7.401001e-01,42,12,44040192,2.5103,1,1.680510e-08
57,blk.32.ffn_up_exps.weight,32,up,7.401001e-01,42,12,44040192,2.5543,1,1.680510e-08
58,blk.13.ffn_gate_exps.weight,13,gate,6.751932e-01,42,12,44040192,2.5984,1,1.533129e-08
59,blk.13.ffn_up_exps.weight,13,up,6.751932e-01,42,12,44040192,2.6424,1,1.533129e-08
60,blk.20.ffn_gate_exps.weight,20,gate,6.733511e-01,42,12,44040192,2.6865,1,1.528947e-08
61,blk.20.ffn_up_exps.weight,20,up,6.733511e-01,42,12,44040192,2.7305,1,1.528947e-08
62,blk.16.ffn_gate_exps.weight,16,gate,5.777795e-01,42,12,44040192,2.7745,1,1.311937e-08
63,blk.16.ffn_up_exps.weight,16,up,5.777795e-01,42,12,44040192,2.8186,1,1.311937e-08
64,blk.8.ffn_gate_exps.weight,8,gate,5.554193e-01,42,12,44040192,2.8626,1,1.261165e-08
65,blk.8.ffn_up_exps.weight,8,up,5.554193e-01,42,12,44040192,2.9067,1,1.261165e-08
66,blk.29.ffn_gate_exps.weight,29,gate,5.333100e-01,42,12,44040192,2.9507,1,1.210962e-08
67,blk.29.ffn_up_exps.weight,29,up,5.333100e-01,42,12,44040192,2.9947,1,1.210962e-08
68,blk.22.ffn_gate_exps.weight,22,gate,4.250580e-01,42,12,44040192,3.0388,1,9.651594e-09
69,blk.22.ffn_up_exps.weight,22,up,4.250580e-01,42,12,44040192,3.0828,1,9.651594e-09
70,blk.3.ffn_gate_exps.weight,3,gate,3.636848e-01,42,12,44040192,3.1269,1,8.258019e-09
71,blk.3.ffn_up_exps.weight,3,up,3.636848e-01,42,12,44040192,3.1709,1,8.258019e-09
72,blk.17.ffn_gate_exps.weight,17,gate,3.536034e-01,42,12,44040192,3.2149,1,8.029107e-09
73,blk.17.ffn_up_exps.weight,17,up,3.536034e-01,42,12,44040192,3.2590,1,8.029107e-09
74,blk.2.ffn_gate_exps.weight,2,gate,3.271511e-01,42,12,44040192,3.3030,1,7.428466e-09
75,blk.2.ffn_up_exps.weight,2,up,3.271511e-01,42,12,44040192,3.3471,1,7.428466e-09
76,blk.0.ffn_gate_exps.weight,0,gate,3.138034e-01,42,12,44040192,3.3911,1,7.125386e-09
77,blk.0.ffn_up_exps.weight,0,up,3.138034e-01,42,12,44040192,3.4351,1,7.125386e-09
78,blk.1.ffn_gate_exps.weight,1,gate,2.832725e-01,42,12,44040192,3.4792,1,6.432135e-09
79,blk.1.ffn_up_exps.weight,1,up,2.832725e-01,42,12,44040192,3.5232,1,6.432135e-09
80,blk.18.ffn_down_exps.weight,18,down,1.698676e-02,11,12,35651584,3.5589,1,4.764657e-10
81,blk.6.ffn_down_exps.weight,6,down,1.642033e-02,11,12,35651584,3.5945,1,4.605779e-10
82,blk.7.ffn_down_exps.weight,7,down,1.438069e-02,11,12,35651584,3.6302,1,4.033674e-10
83,blk.5.ffn_down_exps.weight,5,down,1.430062e-02,11,12,35651584,3.6658,1,4.011217e-10
84,blk.9.ffn_down_exps.weight,9,down,1.338277e-02,11,12,35651584,3.7015,1,3.753766e-10
85,blk.20.ffn_down_exps.weight,20,down,1.325106e-02,11,12,35651584,3.7371,1,3.716822e-10
86,blk.13.ffn_down_exps.weight,13,down,1.286716e-02,11,12,35651584,3.7728,1,3.609140e-10
87,blk.16.ffn_down_exps.weight,16,down,1.200007e-02,11,12,35651584,3.8084,1,3.365928e-10
88,blk.4.ffn_down_exps.weight,4,down,1.087305e-02,11,12,35651584,3.8441,1,3.049807e-10
89,blk.22.ffn_down_exps.weight,22,down,8.930348e-03,11,12,35651584,3.8797,1,2.504895e-10
90,blk.8.ffn_down_exps.weight,8,down,8.042034e-03,11,12,35651584,3.9154,1,2.255730e-10
91,blk.17.ffn_down_exps.weight,17,down,6.885125e-03,11,12,35651584,3.9510,1,1.931225e-10
92,blk.3.ffn_down_exps.weight,3,down,3.164298e-03,11,12,35651584,3.9867,1,8.875616e-11
93,blk.1.ffn_down_exps.weight,1,down,2.830194e-03,11,12,35651584,4.0223,1,7.938480e-11
94,blk.2.ffn_down_exps.weight,2,down,2.351167e-03,11,12,35651584,4.0580,1,6.594846e-11
95,blk.0.ffn_down_exps.weight,0,down,1.540541e-03,11,12,35651584,4.0936,1,4.321101e-11
96,blk.10.ffn_down_exps.weight,10,down,2.293243e-02,12,12,0,4.0936,0,0.000000e+00
97,blk.11.ffn_down_exps.weight,11,down,2.448535e-02,12,12,0,4.0936,0,0.000000e+00
98,blk.12.ffn_down_exps.weight,12,down,2.211338e-02,12,12,0,4.0936,0,0.000000e+00
99,blk.14.ffn_down_exps.weight,14,down,2.700735e-02,12,12,0,4.0936,0,0.000000e+00
100,blk.15.ffn_down_exps.weight,15,down,4.054768e-02,12,12,0,4.0936,0,0.000000e+00
101,blk.19.ffn_down_exps.weight,19,down,4.596445e-02,12,12,0,4.0936,0,0.000000e+00
102,blk.21.ffn_down_exps.weight,21,down,2.627957e-02,12,12,0,4.0936,0,0.000000e+00
103,blk.23.ffn_down_exps.weight,23,down,4.165212e-02,12,12,0,4.0936,0,0.000000e+00
104,blk.24.ffn_down_exps.weight,24,down,2.990230e-02,12,12,0,4.0936,0,0.000000e+00
105,blk.25.ffn_down_exps.weight,25,down,1.920516e-02,12,12,0,4.0936,0,0.000000e+00
106,blk.26.ffn_down_exps.weight,26,down,2.892512e-02,12,12,0,4.0936,0,0.000000e+00
107,blk.27.ffn_down_exps.weight,27,down,8.082700e-02,12,12,0,4.0936,0,0.000000e+00
108,blk.28.ffn_down_exps.weight,28,down,2.370034e-02,12,12,0,4.0936,0,0.000000e+00
109,blk.29.ffn_down_exps.weight,29,down,1.757084e-02,12,12,0,4.0936,0,0.000000e+00
110,blk.30.ffn_down_exps.weight,30,down,1.004850e-01,12,12,0,4.0936,0,0.000000e+00
111,blk.31.ffn_down_exps.weight,31,down,1.631409e-01,12,12,0,4.0936,0,0.000000e+00
112,blk.32.ffn_down_exps.weight,32,down,4.371109e-02,12,12,0,4.0936,0,0.000000e+00
113,blk.33.ffn_down_exps.weight,33,down,2.609667e-01,12,12,0,4.0936,0,0.000000e+00
114,blk.34.ffn_down_exps.weight,34,down,2.492957e-01,12,12,0,4.0936,0,0.000000e+00
115,blk.35.ffn_down_exps.weight,35,down,2.993831e-01,12,12,0,4.0936,0,0.000000e+00
116,blk.36.ffn_down_exps.weight,36,down,7.008219e-02,12,12,0,4.0936,0,0.000000e+00
117,blk.37.ffn_down_exps.weight,37,down,1.334823e-01,12,12,0,4.0936,0,0.000000e+00
118,blk.38.ffn_down_exps.weight,38,down,7.597813e-01,12,12,0,4.0936,0,0.000000e+00
119,blk.39.ffn_down_exps.weight,39,down,3.026688e+01,12,12,0,4.0936,0,0.000000e+00
