model,quant,reorder,depth,tg_tok_s,stddev
NX2,Q5_K_M,off,0,70.07,0.05
NX2,Q5_K_M,off,4096,65.47,0.07
NX2,Q5_K_M,off,16384,55.65,0.03
NX2,Q5_K_M,off,32768,46.21,0.02
NX2,Q5_K_M,on,0,82.84,0.02
NX2,Q5_K_M,on,4096,76.00,0.12
NX2,Q5_K_M,on,16384,62.59,0.02
NX2,Q5_K_M,on,32768,51.01,0.04
NX2,Q4_K_M,off,0,74.53,0.06
NX2,Q4_K_M,off,4096,69.33,0.08
NX2,Q4_K_M,off,16384,58.28,0.02
NX2,Q4_K_M,off,32768,47.94,0.02
NX2,Q4_K_M,on,0,87.45,0.11
NX2,Q4_K_M,on,4096,79.61,0.15
NX2,Q4_K_M,on,16384,65.26,0.05
NX2,Q4_K_M,on,32768,52.63,0.04
