verdict,ctx_tokens,needle_depth_pct,prefill_s,decode_ts,rope_config,kv_type,sample,prompt_n,cache_n
PASS,259609,10,1112.3,5.3,yarn2,q8_0,0,259634,0
PASS,259609,50,4.2,5.5,yarn2,q8_0,0,517,259118
PASS,259609,90,4.3,5.5,yarn2,q8_0,0,518,259118
PASS,520093,10,3886.3,2.8,yarn2,q8_0,0,520118,0
PASS,520093,50,7.7,2.8,yarn2,q8_0,0,517,519602
PASS,520093,90,7.8,2.9,yarn2,q8_0,0,518,519602
# T3 smoke verdict (2026-06-09): yarn2+q8_0 6/6 PASS incl 520093 tokens @10/50/90. prefill 1112s@260k, 3886s@520k. decode 5.5 t/s @260k, 2.8 @520k (q8_0 penalty). GATE_512K=on.
PASS,259609,10,1105.6,25.3,yarn2-iq4xs,f16,0,259634,0
PASS,259609,50,4.0,24.2,yarn2-iq4xs,f16,0,517,259118
PASS,259609,90,4.0,24.2,yarn2-iq4xs,f16,0,518,259118
PASS,520093,10,3868.1,16.3,yarn2-iq4xs,f16,0,520118,0
PASS,520093,50,7.5,16.3,yarn2-iq4xs,f16,0,517,519602
PASS,520093,90,7.4,16.4,yarn2-iq4xs,f16,0,518,519602
PASS,32688,10,50.5,65.4,native-131k,f16,0,32713,0
PASS,32688,50,1.1,65.6,native-131k,f16,0,517,32197
PASS,32688,90,1.1,66.4,native-131k,f16,0,518,32197
PASS,65155,10,123.9,54.8,native-131k,f16,0,65180,0
PASS,65155,50,1.5,54.9,native-131k,f16,0,517,64664
PASS,65155,90,1.5,54.8,native-131k,f16,0,518,64664
PASS,126589,10,333.6,42.3,native-131k,f16,0,126614,0
PASS,126589,50,2.3,42.3,native-131k,f16,0,517,126098
PASS,126589,90,2.3,42.6,native-131k,f16,0,518,126098
PASS,32688,10,50.6,65.5,native,f16,0,32713,0
PASS,32688,50,1.1,65.6,native,f16,0,517,32197
PASS,32688,90,1.1,65.9,native,f16,0,518,32197
PASS,65155,10,124.4,54.6,native,f16,0,65180,0
PASS,65155,50,1.5,54.9,native,f16,0,517,64664
PASS,65155,90,1.5,54.7,native,f16,0,518,64664
PASS,130648,10,350.0,41.7,native,f16,0,130673,0
PASS,130648,50,2.3,41.7,native,f16,0,517,130157
PASS,130648,90,2.4,41.6,native,f16,0,518,130157
PASS,196192,10,680.9,33.5,native,f16,0,196217,0
PASS,196192,50,3.2,33.7,native,f16,0,517,195701
PASS,196192,90,3.2,33.4,native,f16,0,518,195701
PASS,257660,10,1087.3,28.2,native,f16,0,257685,0
PASS,257660,50,4.0,28.2,native,f16,0,517,257169
PASS,257660,90,4.0,28.3,native,f16,0,518,257169
PASS,32688,10,50.2,28.9,native,q8_0,0,32713,0
PASS,32688,50,1.1,29.3,native,q8_0,0,517,32197
PASS,32688,90,1.1,29.5,native,q8_0,0,518,32197
PASS,65155,10,123.0,18.0,native,q8_0,0,65180,0
PASS,65155,50,1.5,18.0,native,q8_0,0,517,64664
PASS,65155,90,1.6,18.1,native,q8_0,0,518,64664
PASS,130648,10,351.3,10.3,native,q8_0,0,130673,0
PASS,130648,50,2.4,10.4,native,q8_0,0,517,130157
PASS,130648,90,2.5,10.2,native,q8_0,0,518,130157
PASS,196192,10,682.6,7.1,native,q8_0,0,196217,0
PASS,196192,50,3.3,7.1,native,q8_0,0,517,195701
PASS,196192,90,3.4,7.2,native,q8_0,0,518,195701
PASS,257660,10,1091.1,5.6,native,q8_0,0,257685,0
PASS,257660,50,4.2,5.6,native,q8_0,0,517,257169
PASS,257660,90,4.2,5.5,native,q8_0,0,518,257169
PASS,32688,10,50.2,29.2,yarn1.5,q8_0,0,32713,0
PASS,32688,50,1.1,29.3,yarn1.5,q8_0,0,517,32197
PASS,32688,90,1.1,29.5,yarn1.5,q8_0,0,518,32197
PASS,65155,10,123.8,18.0,yarn1.5,q8_0,0,65180,0
PASS,65155,50,1.6,18.0,yarn1.5,q8_0,0,517,64664
PASS,65155,90,1.6,18.2,yarn1.5,q8_0,0,518,64664
PASS,130648,10,352.5,10.3,yarn1.5,q8_0,0,130673,0
PASS,130648,50,2.4,10.3,yarn1.5,q8_0,0,517,130157
PASS,130648,90,2.5,10.3,yarn1.5,q8_0,0,518,130157
PASS,196192,10,683.9,7.1,yarn1.5,q8_0,0,196217,0
PASS,196192,50,3.3,7.1,yarn1.5,q8_0,0,517,195701
PASS,196192,90,3.4,7.1,yarn1.5,q8_0,0,518,195701
PASS,259609,10,1104.5,5.6,yarn1.5,q8_0,0,259634,0
PASS,259609,50,4.1,5.5,yarn1.5,q8_0,0,517,259118
PASS,259609,90,4.3,5.5,yarn1.5,q8_0,0,518,259118
PASS,327736,10,1668.1,4.4,yarn1.5,q8_0,0,327761,0
PASS,327736,50,5.1,4.4,yarn1.5,q8_0,0,517,327245
PASS,327736,90,5.2,4.4,yarn1.5,q8_0,0,518,327245
PASS,389204,10,2279.1,3.8,yarn1.5,q8_0,0,389229,0
PASS,389204,50,5.9,3.8,yarn1.5,q8_0,0,517,388713
PASS,389204,90,6.1,3.8,yarn1.5,q8_0,0,518,388713
PASS,32688,10,50.5,29.1,yarn2,q8_0,0,32713,0
PASS,32688,50,1.1,29.1,yarn2,q8_0,0,517,32197
PASS,32688,90,1.1,29.2,yarn2,q8_0,0,518,32197
PASS,65155,10,123.6,18.0,yarn2,q8_0,0,65180,0
PASS,65155,50,1.6,18.0,yarn2,q8_0,0,517,64664
PASS,65155,90,1.6,18.2,yarn2,q8_0,0,518,64664
PASS,130648,10,351.2,10.3,yarn2,q8_0,0,130673,0
PASS,130648,50,2.5,10.2,yarn2,q8_0,0,517,130157
PASS,130648,90,2.5,10.3,yarn2,q8_0,0,518,130157
PASS,196192,10,684.6,7.1,yarn2,q8_0,0,196217,0
PASS,196192,50,3.3,7.1,yarn2,q8_0,0,517,195701
PASS,196192,90,3.4,7.1,yarn2,q8_0,0,518,195701
PASS,327736,10,1670.6,4.4,yarn2,q8_0,0,327761,0
PASS,327736,50,5.1,4.4,yarn2,q8_0,0,517,327245
PASS,327736,90,5.2,4.5,yarn2,q8_0,0,518,327245
PASS,393342,10,2327.1,3.7,yarn2,q8_0,0,393367,0
PASS,393342,50,6.0,3.7,yarn2,q8_0,0,517,392851
PASS,393342,90,6.1,3.7,yarn2,q8_0,0,518,392851
PASS,458876,10,3084.7,3.2,yarn2,q8_0,0,458901,0
PASS,458876,50,6.9,3.4,yarn2,q8_0,0,517,458385
PASS,458876,90,7.1,3.2,yarn2,q8_0,0,518,458385
PASS,32688,10,50.7,29.2,linear2,q8_0,0,32713,0
PASS,32688,50,1.1,29.3,linear2,q8_0,0,517,32197
PASS,32688,90,1.1,29.1,linear2,q8_0,0,518,32197
PASS,65155,10,123.6,18.0,linear2,q8_0,0,65180,0
PASS,65155,50,1.6,17.9,linear2,q8_0,0,517,64664
PASS,65155,90,1.6,18.0,linear2,q8_0,0,518,64664
PASS,130648,10,352.3,10.4,linear2,q8_0,0,130673,0
PASS,130648,50,2.4,10.2,linear2,q8_0,0,517,130157
PASS,130648,90,2.5,10.2,linear2,q8_0,0,518,130157
PASS,196192,10,683.3,7.2,linear2,q8_0,0,196217,0
PASS,196192,50,3.3,7.2,linear2,q8_0,0,517,195701
PASS,196192,90,3.4,7.2,linear2,q8_0,0,518,195701
PASS,259609,10,1104.8,5.6,linear2,q8_0,0,259634,0
PASS,259609,50,4.2,5.5,linear2,q8_0,0,517,259118
PASS,259609,90,4.2,5.6,linear2,q8_0,0,518,259118
PASS,327736,10,1668.4,4.5,linear2,q8_0,0,327761,0
PASS,327736,50,5.1,4.4,linear2,q8_0,0,517,327245
PASS,327736,90,5.2,4.5,linear2,q8_0,0,518,327245
PASS,393342,10,2324.1,3.7,linear2,q8_0,0,393367,0
PASS,393342,50,6.0,3.7,linear2,q8_0,0,517,392851
PASS,393342,90,6.1,3.7,linear2,q8_0,0,518,392851
PASS,458876,10,3083.7,3.2,linear2,q8_0,0,458901,0
PASS,458876,50,6.9,3.4,linear2,q8_0,0,517,458385
PASS,458876,90,7.0,3.3,linear2,q8_0,0,518,458385
PASS,520093,10,3981.1,2.8,linear2,q8_0,0,520118,0
PASS,520093,50,8.2,2.8,linear2,q8_0,0,517,519602
PASS,520093,90,8.3,2.9,linear2,q8_0,0,518,519602
PASS,32688,10,73.1,30.0,yarn2-iq4xs,f16,0,32713,0
PASS,32688,50,1.5,30.2,yarn2-iq4xs,f16,0,517,32197
PASS,32688,90,1.5,29.9,yarn2-iq4xs,f16,0,518,32197
PASS,65155,10,168.7,27.5,yarn2-iq4xs,f16,0,65180,0
PASS,65155,50,2.0,27.5,yarn2-iq4xs,f16,0,517,64664
PASS,65155,90,2.0,27.4,yarn2-iq4xs,f16,0,518,64664
# CONTENTION WINDOW: external test jobs on this box from ~2026-06-10 01:50-02:19+ (load avg 21-25). Rows logged during it (yarn2-iq4xs config, csv lines >122) have skewed prefill_s/decode_ts; verdicts unaffected. Decision: NO re-measure (user call) — use the clean smoke timings at 260k/520k for iq4xs; treat its mid-length timings as indicative only.
PASS,130648,10,388.8,34.8,yarn2-iq4xs,f16,0,130673,0
PASS,130648,50,2.4,34.7,yarn2-iq4xs,f16,0,517,130157
PASS,130648,90,2.4,34.8,yarn2-iq4xs,f16,0,518,130157
PASS,196192,10,682.9,29.1,yarn2-iq4xs,f16,0,196217,0
PASS,196192,50,3.2,29.4,yarn2-iq4xs,f16,0,517,195701
PASS,196192,90,3.2,29.1,yarn2-iq4xs,f16,0,518,195701
PASS,393342,10,2319.2,19.7,yarn2-iq4xs,f16,0,393367,0
PASS,393342,50,5.8,19.7,yarn2-iq4xs,f16,0,517,392851
PASS,393342,90,5.8,19.7,yarn2-iq4xs,f16,0,518,392851
PASS,458876,10,3078.9,17.8,yarn2-iq4xs,f16,0,458901,0
PASS,458876,50,6.7,17.7,yarn2-iq4xs,f16,0,517,458385
PASS,458876,90,6.7,17.8,yarn2-iq4xs,f16,0,518,458385
PASS,327736,10,1675.1,22.1,yarn2-iq4xs,f16,0,327761,0
PASS,327736,50,4.9,22.3,yarn2-iq4xs,f16,0,517,327245
PASS,327736,90,4.9,22.2,yarn2-iq4xs,f16,0,518,327245
PASS,520104,0,3881.1,16.4,yarn2-iq4xs,f16,0,520128,0
PASS,520104,10,7.5,16.3,yarn2-iq4xs,f16,0,517,519612
PASS,520104,25,7.5,16.3,yarn2-iq4xs,f16,0,518,519612
PASS,520104,50,7.5,16.3,yarn2-iq4xs,f16,0,517,519612
PASS,520104,75,7.4,16.4,yarn2-iq4xs,f16,0,517,519612
PASS,520104,90,7.5,16.4,yarn2-iq4xs,f16,0,518,519612
PASS,520104,100,7.5,16.3,yarn2-iq4xs,f16,0,517,519612
PASS,519851,0,3876.9,16.3,yarn2-iq4xs,f16,1,519875,0
PASS,519851,10,7.4,16.4,yarn2-iq4xs,f16,1,517,519359
PASS,519851,25,7.4,16.3,yarn2-iq4xs,f16,1,518,519359
