arm,steps,threads,taskset,item,item_chars,wall_s,decode_ms,tags_total,tags_valid,pass_rate,slots_found,note
nexn2,16,16,,summary-upstream,2507,7.31,,77,76,0.987,7,baseline-nothink
nexn2,16,16,,niah-pareto,2504,11.6,,137,137,1.0,4,baseline-nothink
nexn2,16,16,,memory-bakeoff,2493,5.45,,13,11,0.846,2,baseline-nothink
nexn2,16,16,,letta-readme,2497,4.85,,57,52,0.912,7,baseline-nothink
nexn2,16,16,,serve-sh,2499,4.35,,56,53,0.946,7,baseline-nothink
nexn2,16,16,,methodology,2499,5.49,,54,53,0.981,6,baseline-nothink
dream,8,16,,summary-upstream,2507,170.21,166712.35,8,2,0.25,2,smoke-t16
dream,8,32,,summary-upstream,2507,191.28,187732.18,1,0,0.0,1,smoke-t32
dgemma,16,16,,summary-upstream,2507,87.75,72688.18,0,0,0.0,0,smoke
dgemma,16,16,,summary-upstream,2507,74.07,55284.36,24,22,0.917,7,smoke-nothink-v2
dgemma,8,16,,summary-upstream,2507,57.23,43503.26,23,21,0.913,7,v2
dgemma,8,16,,niah-pareto,2504,67.86,54073.19,15,14,0.933,7,v2
dgemma,8,16,,memory-bakeoff,2493,69.88,54304.26,22,20,0.909,6,v2
dgemma,8,16,,letta-readme,2497,72.08,56505.52,18,17,0.944,6,v2
dgemma,8,16,,serve-sh,2499,73.06,55980.17,17,16,0.941,6,v2
dgemma,8,16,,methodology,2499,67.08,51095.15,20,18,0.9,6,v2
dgemma,16,16,,summary-upstream,2507,86.47,70295.60,24,22,0.917,7,v2
dgemma,16,16,,niah-pareto,2504,94.49,77358.84,17,15,0.882,7,v2
dgemma,16,16,,memory-bakeoff,2493,94.61,75865.08,22,21,0.955,7,v2
dgemma,16,16,,letta-readme,2497,83.87,67475.09,20,18,0.9,7,v2
dgemma,16,16,,serve-sh,2499,146.45,101595.28,18,17,0.944,6,v2
dgemma,16,16,,methodology,2499,117.99,83130.31,21,20,0.952,6,v2
dream,16,16,,summary-upstream,2507,383.4,372404.25,1,0,0.0,1,v2
nexn2,16,16,,summary-upstream,2507,4.08,,29,28,0.966,7,v2
nexn2,16,16,,niah-pareto,2504,4.19,,21,21,1.0,6,v2
nexn2,16,16,,memory-bakeoff,2493,4.06,,9,9,1.0,2,v2
nexn2,16,16,,letta-readme,2497,5.2,,40,37,0.925,7,v2
nexn2,16,16,,serve-sh,2499,4.2,,28,27,0.964,7,v2
nexn2,16,16,,methodology,2499,5.76,,42,42,1.0,6,v2
dgemma,8,12,,methodology,2499,66.85,54124.76,20,18,0.9,6,pinned12-s8
